Dataset,Topology,Alpha,Agents,Accuracy,Precision,Recall,F1,Energy,PacketLossSimulated,PacketLossScenario,SourceFile,Approach
cic,FullyConnected,2,10,0.3296021006613713,0,0,0,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_fuzzers_loss10.csv,MARL
cic,FullyConnected,2,10,0.33072544898828443,1,0.00167564416299828,0.00334568215322527,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_fuzzers_loss30.csv,MARL
cic,FullyConnected,2,9,0.3307324699153276,1,0.00168611693901702,0.0033665574684603,2.1,0.5,0.5,marl_xgb_FullyConnected_topology_cic_detection_metrics_2.0_normal_fuzzers_loss50.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_dos_reconnaissance_loss0.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_dos_reconnaissance_loss10.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_dos_reconnaissance_loss30.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_dos_reconnaissance_loss50.csv,MARL
ton,FullyConnected,0.1,5,0.46713587021352737,0.0798135621184623,0.9867414584395716,0.14768174012593016,1.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_exploits_loss0.csv,MARL
ton,FullyConnected,0.1,6,0.5082905880949541,0.00128362838958121,0.01223865374808771,0.00232355503920999,1.5,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_exploits_loss10.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_exploits_loss30.csv,MARL
ton,FullyConnected,0.1,5,1,1,1,1,1.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_exploits_loss50.csv,MARL
ton,FullyConnected,0.1,8,1,1,1,1,1.9,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_fuzzers_loss0.csv,MARL
ton,FullyConnected,0.1,9,0.9611117738279852,0.9635854341736696,0.17542070372259053,0.2968075927523728,2.1,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_fuzzers_loss10.csv,MARL
ton,FullyConnected,0.1,8,0.8449242514612907,0.23017477113304008,0.987251402345742,0.37331276513690703,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_fuzzers_loss30.csv,MARL
ton,FullyConnected,0.1,8,1,1,1,1,1.9,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.1_normal_fuzzers_loss50.csv,MARL
ton,FullyConnected,0.3,10,0.8218298938327567,0.18918613839033752,0.8546659867414584,0.3097966728280961,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_dos_reconnaissance_loss0.csv,MARL
ton,FullyConnected,0.3,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_dos_reconnaissance_loss10.csv,MARL
ton,FullyConnected,0.3,9,1,1,1,1,2.1,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_dos_reconnaissance_loss30.csv,MARL
ton,FullyConnected,0.3,10,1,1,1,1,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_dos_reconnaissance_loss50.csv,MARL
ton,FullyConnected,0.3,7,1,1,1,1,1.6999999999999995,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_exploits_loss0.csv,MARL
ton,FullyConnected,0.3,8,1,1,1,1,1.9,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_exploits_loss10.csv,MARL
ton,FullyConnected,0.3,7,1,1,1,1,1.6999999999999995,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_exploits_loss30.csv,MARL
ton,FullyConnected,0.3,8,1,1,1,1,1.9,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_exploits_loss50.csv,MARL
ton,FullyConnected,0.3,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_fuzzers_loss0.csv,MARL
ton,FullyConnected,0.3,9,1,1,1,1,2.1,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_fuzzers_loss10.csv,MARL
ton,FullyConnected,0.3,8,0.9964690444948108,0.9351896303408546,0.993370729219786,0.963402571711177,1.9,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_fuzzers_loss30.csv,MARL
ton,FullyConnected,0.3,10,0.8509125611356316,0.2380254154447703,0.993370729219786,0.3840315426318384,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.3_normal_fuzzers_loss50.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_dos_reconnaissance_loss0.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_dos_reconnaissance_loss10.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_dos_reconnaissance_loss30.csv,MARL
ton,FullyConnected,0.5,10,0.955696051532864,0.589041095890411,0.17542070372259053,0.2703339882121808,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_dos_reconnaissance_loss50.csv,MARL
ton,FullyConnected,0.5,10,0.9614219253250628,1,0.17542070372259053,0.2984815618221258,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_exploits_loss0.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_exploits_loss10.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_exploits_loss30.csv,MARL
ton,FullyConnected,0.5,9,1,1,1,1,2.1,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_exploits_loss50.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_fuzzers_loss0.csv,MARL
ton,FullyConnected,0.5,11,1,1,1,1,2.5,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_fuzzers_loss10.csv,MARL
ton,FullyConnected,0.5,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_fuzzers_loss30.csv,MARL
ton,FullyConnected,0.5,9,1,1,1,1,2.1,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_0.5_normal_fuzzers_loss50.csv,MARL
ton,FullyConnected,1,9,1,1,1,1,2.1,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_dos_reconnaissance_loss0.csv,MARL
ton,FullyConnected,1,11,1,1,1,1,2.5,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_dos_reconnaissance_loss10.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_dos_reconnaissance_loss30.csv,MARL
ton,FullyConnected,1,10,0.35779553859000357,0.06790401329685931,1,0.12717250324254217,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_dos_reconnaissance_loss50.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_exploits_loss0.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_exploits_loss10.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_exploits_loss30.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_exploits_loss50.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_fuzzers_loss0.csv,MARL
ton,FullyConnected,1,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_fuzzers_loss10.csv,MARL
ton,FullyConnected,1,11,1,1,1,1,2.5,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_fuzzers_loss30.csv,MARL
ton,FullyConnected,1,11,1,1,1,1,2.5,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_1.0_normal_fuzzers_loss50.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_dos_reconnaissance_loss0.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_dos_reconnaissance_loss10.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_dos_reconnaissance_loss30.csv,MARL
ton,FullyConnected,2,11,1,1,1,1,2.5,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_dos_reconnaissance_loss50.csv,MARL
ton,FullyConnected,2,9,1,1,1,1,2.1,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_exploits_loss0.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0.1,0.1,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_exploits_loss10.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0.3,0.3,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_exploits_loss30.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0.5,0.5,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_exploits_loss50.csv,MARL
ton,FullyConnected,2,10,1,1,1,1,2.3,0,0,marl_xgb_FullyConnected_topology_ton_detection_metrics_2.0_normal_fuzzers_loss0.csv,MARL
